candidate_id	channel_score	label_hint	ayah_count	root_count	branch_count	edge_count	mean_affinity	density	reciprocal_edge_ratio	strong_rank_ratio	ayahs	roots	top_facets	example_edge
C067	0.7603	reward / wage / recompense / accountability	31	9	12	19	0.06538041	0.3016	1.0	0.7368	1,2,7,8,17,23,30,31,32,44,46,48,49,52,56,57,59,77,79,82,88,90,94,95,96,98,103,105,106,107,110	ء ج ر ب ط ل ث و ب ج ر ي ج ز ي ج ع ل ع م ل ف ع ل ق ر ض	kw:reward(74.4006); kw:wage(49.5059); kw:recompense(47.5952); kw:accountability(40.0012); kw:fee(34.884); kw:requital(33.004); kw:leisure(32.5328); kw:substitution(30.7655)	ء ج ر:B001:جزاء العمل والكراء → ث و ب:B002:جزاء العمل العائد إلى عامله
C068	0.7598	space_form_boundary/place_location / residence / settlement / stay	61	17	17	36	0.06362766	0.2647	0.8889	0.5833	1,2,3,9,10,12,13,14,15,16,18,19,20,21,22,24,25,26,27,28,29,31,34,35,36,38,40,42,43,45,46,48,49,50,51,53,54,55,57,58,64,65,77,79,80,81,82,84,86,87,90,93,95,97,98,101,102,105,107,109,110	ء ب د ء ر ك ر ب ب ر ب ع ر ق د س ك ن ظ ن ن ظ ه ر ع ب د ع ز ز ق و م ك و ن ل ب ث م د ن م ك ن م ن ع ن ع م	theme:space_form_boundary/place_location(134.8928); kw:residence(126.1016); kw:settlement(82.4685); kw:stay(74.9722); kw:habitation(74.0586); kw:place(51.5428); kw:abode(45.7343); kw:dwelling(40.3171)	ر ق د:B003:الثبات والإقامة بالمكان → ء ر ك:B003:اللُّزوم والإقامة في المكان
C069	0.7598	self / facilitation / psychology / agency	64	13	13	18	0.05634048	0.2308	1.0	0.7222	2,4,5,6,10,11,14,18,19,21,22,23,24,25,26,28,29,32,33,34,35,37,39,41,42,45,49,50,52,54,55,56,60,62,63,64,66,67,69,70,71,72,73,74,75,76,77,78,82,83,84,86,87,88,93,94,95,96,97,98,101,103,109,110	ء ن س ب خ ع س ن و س و ء ش ي ء ط ل ق ط و ع ق ر ن ق و ل م ل ء ن خ ل ن ذ ر ن ز ع	kw:self(43.7155); kw:facilitation(34.1547); kw:psychology(33.4095); kw:agency(30.693); kw:assistance(29.7602); kw:longing(29.7602); kw:soul(29.3388); kw:motivation(26.9877)	س ن و:B006:فتح الوجه والتيسير → ط و ع:B006:تسهيل النفس للأمر
C070	0.7597	liability / surety / guarantee / kinship_society/hospitality_welfare	48	15	15	24	0.06904676	0.2286	1.0	0.75	9,18,19,28,29,33,34,37,40,42,43,45,48,50,51,52,54,55,56,60,61,64,67,68,69,71,72,74,75,76,77,78,79,80,82,86,90,93,98,100,101,102,104,105,106,107,109,110	ء ك ل ب ل غ ج ي ء ح س ب ر ز ق ز ع م س ع ي ش ر ب ص ب ر ط ع م ق ب ل ك ف ر ك ف ف ك و ن ن ف ق	kw:liability(65.4624); kw:surety(63.4603); kw:guarantee(61.531); theme:kinship_society/hospitality_welfare(45.6546); kw:responsibility(41.9894); kw:sufficiency(40.6505); kw:livelihood(38.2751); kw:contract(36.9363)	ز ع م:B003:تحمل الكفالة → ق ب ل:B008:ضمان الشيء والتكفل به
C071	0.7597	repair / reform / selection / livelihood	44	10	12	18	0.05970604	0.2857	1.0	0.7778	2,10,11,13,14,16,19,21,22,24,26,27,28,29,30,32,36,38,40,42,44,45,46,48,49,50,55,57,58,71,74,77,81,82,87,88,94,95,98,104,105,107,109,110	ء ه ل ح ك م خ ي ر ر ب ب ز ك و س ع ي ص ل ح ض ر ب غ ي ر ف س د	kw:repair(50.1599); kw:reform(49.5059); kw:selection(41.3787); kw:livelihood(38.2751); kw:righteousness(35.7766); kw:ethics(35.1221); kw:compatibility(33.004); kw:fitness(30.4895)	ص ل ح:B001:الصلاح ضد الفساد والطلاح → ف س د:B001:خروج الشيء عن الصلاح والاعتدال
C072	0.7597	star / astronomy / land_water_sky/sky_astronomy / calendar	40	12	12	13	0.07075644	0.197	1.0	1.0	4,14,15,16,17,18,21,28,31,32,33,35,36,37,39,40,42,45,49,50,51,53,54,55,56,57,58,61,63,73,76,77,79,84,86,90,96,102,106,107	ء خ ذ ج ن ن ح ض ر خ و ي س و ي ص ر ف ط ل ع ع ذ ر ع ز ل غ ف ر ق ل ب ك ل ل	kw:star(89.8577); kw:astronomy(85.6592); theme:land_water_sky/sky_astronomy(77.0844); kw:calendar(48.4301); kw:mansion(46.5929); kw:moon(44.316); kw:season(36.4916); kw:sky(35.9198)	ء خ ذ:B008:أخذ القمر في منازله → غ ف ر:B006:منزل قمري من ثلاثة أنجم
C073	0.7596	road / path / track / route	31	9	10	18	0.06424834	0.4091	1.0	0.6111	2,7,10,13,15,19,20,26,30,33,38,40,42,49,50,52,55,61,62,63,65,77,78,79,84,88,96,103,105,107,110	ء ت ي س ب ل ش ر ك ع م ل ع و د ف ر ق م ل ك م ل ل ن ب ء	kw:road(104.7399); kw:path(87.3052); kw:track(44.6404); kw:route(39.4154); kw:thoroughfare(34.884); kw:junction(32.5328); kw:navigation(32.081); kw:access(24.6242)	ع م ل:B011:الطريق المعمل → م ل ل:B006:طريق كثر سلوكه حتى صار معلما
C074	0.7596	circumstance / condition / case / effort	62	8	10	10	0.06705734	0.2381	1.0	0.7	4,5,9,10,14,16,19,21,22,23,24,26,28,29,34,35,37,39,42,43,45,48,49,50,51,52,54,55,60,62,63,64,66,67,69,70,71,72,73,74,75,76,77,78,79,80,82,83,86,87,88,93,94,95,96,98,101,103,107,108,109,110	ء م ر ء و ل ح و ل ع ذ ر ع ز ز ق و ل ك و ن ه ي ء	kw:circumstance(99.0119); kw:condition(80.3141); kw:case(31.0619); kw:effort(27.2163); kw:misfortune(26.0951); kw:adversity(25.2924); kw:scarcity(21.8516); kw:appearance(21.5552)	ه ي ء:B001:الحالة والهيئة الظاهرة → ء و ل:B007:آلة الحال التي يكون عليها الشيء
C075	0.7594	language_communication/writing_text / writing / literacy / book	18	10	11	20	0.065624	0.3704	1.0	0.75	1,6,9,16,20,22,27,28,35,49,51,53,54,62,74,96,97,110	ر ق م ز ب ر س ف ر ظ ه ر ق ر ء ك ت ب ن ش ر ن ف س و ح ي و ق ع	theme:language_communication/writing_text(176.4758); kw:writing(92.9817); kw:literacy(74.4006); kw:book(61.531); kw:inscription(44.9833); kw:recitation(44.6404); kw:record(44.0082); kw:memory(34.9837)	و ح ي:B003:كتابة ونقش → ز ب ر:B003:الكتابة والكتاب والزبور
C076	0.7593	time / daylight / noon / dawn	36	14	14	25	0.06626038	0.2747	1.0	0.72	2,5,10,13,14,15,17,19,20,22,23,28,29,31,32,33,36,37,40,41,42,45,47,49,52,53,54,60,62,77,82,86,90,93,97,105	ر ج ل ش د د ش م س ص ب ح ص ر ف ظ ه ر غ د و ف ت ي ق و م ك ب ر ن ه ر و ج ه و ز ن ي و م	kw:time(90.1477); kw:daylight(81.3321); kw:noon(62.7642); kw:dawn(56.5787); kw:light(55.9423); kw:cycle(48.7706); kw:morning(43.7155); kw:sun(42.9143)	ق و م:B017:انتصاف النهار وقائم الظهيرة → و ز ن:B004:قيام ميزان النهار في وسطه
C077	0.7592	place / toponym / space_form_boundary/place_location / location	32	14	14	24	0.06583651	0.2637	1.0	0.8333	1,7,8,12,16,18,20,21,31,32,33,35,37,39,40,47,48,49,50,52,57,59,74,80,82,88,90,94,95,96,98,107	ء ر ك ء م د ت ر ب ج ع ل ج ن ن س ت ر ع ث ر ع ز ل غ د ر غ ل م ف ر ر ق د م م ل ل ي س ر	kw:place(123.7028); kw:toponym(118.9681); theme:space_form_boundary/place_location(78.6875); kw:location(68.647); kw:site(66.9285); kw:settlement(61.8514); kw:locality(56.2768); kw:toponymy(42.9143)	ق د م:B009:موضع اسمه القدوم → غ ل م:B005:موضع اسمه الغيلم
C078	0.7588	event / recurrence / time_measure_quantity/sequence_cycle / time	50	13	13	18	0.06460914	0.2308	1.0	0.7778	6,9,15,17,19,21,22,27,28,32,34,36,43,45,47,48,49,50,51,52,53,54,56,57,58,61,64,65,69,70,76,77,78,79,80,82,86,87,90,93,94,95,96,98,101,105,106,107,109,110	ء ي ي ب ع د ب ي ن ح د ث ر د د ر و ح ف ر ط ك و ن م ر ر م ر ي و ج د و ق ع ي و م	kw:event(68.647); kw:recurrence(68.3392); theme:time_measure_quantity/sequence_cycle(65.879); kw:time(63.1034); kw:existence(60.4627); kw:creation(55.1716); kw:occurrence(46.5929); kw:interval(38.3916)	ف ر ط:B007:حين يفصل بين لقاءين → ب ع د:B007:بعيدات بين
C079	0.7586	omission / lapse / memory / attention	58	8	13	15	0.06931037	0.2113	1.0	0.8	4,5,10,14,17,19,21,22,23,24,26,28,29,34,35,37,39,42,49,50,51,52,57,60,61,62,63,64,66,67,68,69,70,71,72,73,74,75,76,77,78,82,83,86,87,88,91,93,94,95,96,98,99,101,103,104,109,110	ت ر ك ح و ط ذ ك ر ض ل ل غ ف ل ق و ل ن س ي ي ت م	kw:omission(77.6548); kw:lapse(65.0657); kw:memory(58.3062); kw:attention(47.3897); kw:heedlessness(45.7343); kw:remembrance(34.884); kw:recall(34.884); kw:forgetfulness(33.5381)	ذ ك ر:B003:استحضار الشيء بعد النسيان أو مع الحفظ → ن س ي:B001:غفلة الذكر وزواله
C080	0.7585	plant / vegetation / ecology / herb	47	17	17	42	0.06674946	0.3088	0.8571	0.5238	7,10,11,13,14,16,19,21,22,24,25,26,27,28,29,31,32,36,37,38,40,42,45,46,47,48,49,50,51,55,57,58,71,74,77,78,81,82,84,87,94,95,96,98,105,109,110	ء ر ض ت ر ب ج د ر خ ض ر ر ب ب ر و ح ز ر ع س ن و ش ر ب ش ع ر ط ل ق ع ج ل ع د و ف ر ق ق ط ر ن ب ت ن ز ع	kw:plant(120.5319); kw:vegetation(114.5052); kw:ecology(102.3099); kw:herb(88.5234); kw:growth(73.7497); kw:botany(66.5628); kw:agriculture(57.51); theme:agriculture_food/plant_vegetation(46.7892)	ر ب ب:B012:ربة نبات → ت ر ب:B007:نبت التُّرْبَة
