left	right	score	edge_jaccard	branch_jaccard	root_jaccard	ayah_jaccard	branch_containment	edge_containment	edge_type
P1320	P1866	0.620005	0.558641	0.587551	0.796399	0.833333	0.8	0.75	mutual_knn
P1172	P1648	0.619703	0.547814	0.585544	0.825325	0.857143	0.8	0.75	mutual_knn
P0146	P0585	0.619606	0.523981	0.550539	0.911261	1.0	0.777778	0.75	mutual_knn
P1352	P1892	0.61959	0.571691	0.572713	0.785465	0.833333	0.8	0.75	mutual_knn
P0400	P0563	0.61916	0.518351	0.565433	0.880009	1.0	0.777778	0.75	mutual_knn
P0002	P0451	0.619136	0.567588	0.6111	0.698368	0.8	0.777778	0.75	mutual_knn
P0096	P0267	0.618922	0.559799	0.588224	0.736338	0.875	0.777778	0.75	mutual_knn
P0024	P0531	0.61882	0.558097	0.589177	0.739642	0.875	0.777778	0.75	mutual_knn
P0031	P0420	0.618795	0.566369	0.57784	0.707761	0.909091	0.777778	0.75	mutual_knn
P0193	P0687	0.618727	0.548918	0.546018	0.896979	0.909091	0.777778	0.75	mutual_knn
P1207	P1844	0.618464	0.590318	0.607645	0.568121	0.833333	0.8	0.75	mutual_knn
P1146	P1542	0.618387	0.546787	0.588355	0.830753	0.833333	0.8	0.75	mutual_knn
P0131	P0656	0.618262	0.54861	0.597894	0.732363	0.888889	0.777778	0.75	mutual_knn
P1134	P2177	0.6182	0.547845	0.582148	0.845851	0.833333	0.8	0.75	mutual_knn
P0037	P0472	0.617788	0.549436	0.579504	0.677149	1.0	0.777778	0.75	mutual_knn
P0081	P0652	0.61759	0.530755	0.579119	0.760584	1.0	0.777778	0.75	mutual_knn
P1435	P2219	0.617581	0.571828	0.557768	0.817063	0.833333	0.8	0.75	mutual_knn
P0152	P0505	0.617477	0.535724	0.612708	0.730651	0.888889	0.777778	0.75	mutual_knn
P0236	P0600	0.617476	0.520263	0.549107	0.911698	1.0	0.777778	0.75	mutual_knn
P0363	P0371	0.617471	0.535515	0.573447	0.757826	1.0	0.777778	0.75	mutual_knn
P0118	P0599	0.617213	0.568738	0.579601	0.684202	0.9	0.777778	0.75	mutual_knn
P0236	P0526	0.617142	0.555961	0.570172	0.673992	1.0	0.777778	0.75	mutual_knn
P1807	P2381	0.617142	0.51998	0.571568	0.831025	1.0	0.8	0.75	mutual_knn
P1736	P2134	0.616767	0.486709	0.615383	0.823642	1.0	0.8	0.75	mutual_knn
P0392	P0681	0.616751	0.551018	0.607075	0.563164	1.0	0.777778	0.75	mutual_knn
P1670	P2167	0.616716	0.559976	0.559545	0.831718	0.857143	0.8	0.75	mutual_knn
P0378	P0669	0.616706	0.530584	0.564891	0.902314	0.9	0.777778	0.75	mutual_knn
P0289	P0443	0.616653	0.516702	0.565454	0.862286	1.0	0.777778	0.75	mutual_knn
P1547	P2227	0.616572	0.532001	0.597486	0.847179	0.833333	0.8	0.75	mutual_knn
P0096	P0416	0.61641	0.543689	0.572918	0.712283	1.0	0.777778	0.75	mutual_knn
P0100	P0114	0.616237	0.542779	0.571584	0.719317	1.0	0.777778	0.75	mutual_knn
P0069	P0542	0.616173	0.56482	0.604157	0.630496	0.875	0.777778	0.75	mutual_knn
P0033	P0335	0.61613	0.538236	0.602478	0.630563	1.0	0.777778	0.75	mutual_knn
P0064	P0447	0.616027	0.552935	0.586728	0.618519	1.0	0.777778	0.75	mutual_knn
P0470	P0500	0.615872	0.519945	0.579386	0.891116	0.9	0.777778	0.75	mutual_knn
P0874	P1856	0.615733	0.553158	0.586217	0.759217	0.857143	0.833333	0.8	mutual_knn
P0117	P0631	0.615624	0.565685	0.599563	0.712186	0.8	0.777778	0.75	mutual_knn
P1316	P1653	0.615351	0.540616	0.581019	0.853837	0.833333	0.8	0.75	mutual_knn
P0235	P0611	0.615295	0.558088	0.578318	0.728554	0.888889	0.777778	0.75	mutual_knn
P0123	P0444	0.615242	0.532396	0.567301	0.871082	0.9	0.777778	0.75	mutual_knn
P0245	P0593	0.615088	0.518644	0.548151	0.898447	1.0	0.777778	0.75	mutual_knn
P0011	P0364	0.615025	0.549743	0.628663	0.587197	0.888889	0.777778	0.75	mutual_knn
P1220	P1916	0.614915	0.52238	0.572712	0.79395	1.0	0.8	0.75	mutual_knn
P0090	P0597	0.614884	0.557688	0.575845	0.748785	0.875	0.777778	0.75	mutual_knn
P0289	P0690	0.61488	0.561177	0.575928	0.718865	0.888889	0.777778	0.75	mutual_knn
P0342	P0659	0.614673	0.542455	0.549003	0.884173	0.9	0.777778	0.75	mutual_knn
P0294	P0604	0.614622	0.573237	0.584738	0.720074	0.8	0.777778	0.75	mutual_knn
P0330	P0672	0.614621	0.595448	0.616662	0.581105	0.727273	0.777778	0.75	mutual_knn
P0002	P0424	0.614397	0.551458	0.589013	0.700868	0.9	0.777778	0.75	mutual_knn
P1176	P1238	0.614332	0.491035	0.552475	1.0	1.0	0.714286	0.666667	mutual_knn
P0173	P0573	0.614303	0.527051	0.56519	0.893133	0.9	0.777778	0.75	mutual_knn
P0354	P0627	0.614139	0.54464	0.56407	0.716263	1.0	0.777778	0.75	mutual_knn
P1026	P2213	0.614052	0.498326	0.591839	0.826617	1.0	0.8	0.75	mutual_knn
P1501	P2320	0.614034	0.534665	0.548445	0.81479	1.0	0.8	0.75	mutual_knn
P1607	P1711	0.613913	0.539147	0.583836	0.8124	0.857143	0.8	0.75	mutual_knn
P0989	P0992	0.613899	0.538697	0.572558	0.710902	1.0	0.714286	0.666667	mutual_knn
P1593	P2008	0.613689	0.528438	0.552321	0.825798	1.0	0.8	0.75	mutual_knn
P1363	P1712	0.613676	0.558988	0.557329	0.813521	0.857143	0.8	0.75	mutual_knn
P0010	P0503	0.613598	0.516201	0.549066	0.891348	1.0	0.777778	0.75	mutual_knn
P1690	P2235	0.613498	0.545448	0.603377	0.568642	1.0	0.8	0.75	mutual_knn
P0194	P0430	0.6133	0.528828	0.557274	0.902813	0.9	0.777778	0.75	mutual_knn
P0295	P0329	0.613235	0.541934	0.558325	0.839517	0.9	0.7	0.666667	mutual_knn
