left	right	score	edge_jaccard	branch_jaccard	root_ayah_jaccard	window_cosine	branch_containment	edge_containment	edge_type
C055	C071	0.308368	0.198425	0.184451	0.562591	0.97561	0.326687	0.384703	mutual_knn
C037	C089	0.308275	0.200503	0.215141	0.510875	0.923936	0.361826	0.37585	mutual_knn
C001	C046	0.307898	0.17937	0.236266	0.483189	0.990148	0.434849	0.339729	mutual_knn
C006	C011	0.30784	0.190385	0.239076	0.432471	0.976768	0.392696	0.39883	mutual_knn
C096	C098	0.307547	0.162911	0.271069	0.492312	0.955395	0.445998	0.308611	mutual_knn
C096	C114	0.30647	0.132352	0.249485	0.654481	1.0	0.418676	0.23619	mutual_knn
C030	C105	0.306423	0.179041	0.215485	0.550749	0.971825	0.365503	0.334707	mutual_knn
C010	C081	0.306242	0.209369	0.198364	0.428311	0.992171	0.339222	0.375188	mutual_knn
C011	C076	0.306082	0.152748	0.24985	0.563698	0.983838	0.402153	0.280503	mutual_knn
C029	C115	0.305997	0.150053	0.271135	0.535905	0.960392	0.441968	0.301788	mutual_knn
C060	C100	0.305891	0.248854	0.236456	0.32635	0.778924	0.422811	0.411737	mutual_knn
C040	C086	0.305484	0.134367	0.255484	0.624721	0.991837	0.412278	0.237158	mutual_knn
C039	C071	0.304728	0.186134	0.183445	0.590665	0.97561	0.323546	0.384703	mutual_knn
C033	C039	0.304708	0.181294	0.234426	0.445492	0.991837	0.420273	0.344452	mutual_knn
C068	C080	0.303885	0.186569	0.233636	0.432865	0.972229	0.378916	0.316715	mutual_knn
C022	C105	0.303082	0.178024	0.225636	0.473648	0.990148	0.378996	0.31223	mutual_knn
C074	C084	0.301801	0.174816	0.239427	0.448885	0.976768	0.397197	0.329585	mutual_knn
C095	C103	0.301775	0.200527	0.210283	0.399534	0.984732	0.360627	0.377882	mutual_knn
C027	C089	0.301276	0.1785	0.217149	0.493203	0.97561	0.361294	0.332178	mutual_knn
C061	C101	0.300908	0.134892	0.204734	0.730271	0.990148	0.351728	0.255709	mutual_knn
C012	C034	0.299727	0.212832	0.212227	0.325431	0.970998	0.376191	0.383451	mutual_knn
C029	C085	0.299692	0.178602	0.243372	0.393992	0.979796	0.392479	0.308416	mutual_knn
C065	C080	0.299628	0.19613	0.214239	0.381075	0.991837	0.399561	0.352364	mutual_knn
C033	C107	0.299538	0.203651	0.214058	0.343119	0.991837	0.382475	0.342511	mutual_knn
C035	C116	0.298649	0.176164	0.196208	0.524129	0.992915	0.351985	0.384855	mutual_knn
C096	C102	0.298314	0.150087	0.27208	0.492918	0.923548	0.448684	0.268311	mutual_knn
C011	C035	0.29725	0.145693	0.238214	0.529395	1.0	0.408936	0.259127	mutual_knn
C040	C063	0.296801	0.149283	0.248272	0.484945	0.991837	0.440055	0.313238	mutual_knn
C033	C105	0.296584	0.127926	0.206993	0.715086	0.990148	0.369341	0.273566	mutual_knn
C088	C115	0.29635	0.191454	0.258126	0.340718	0.891133	0.427146	0.344927	mutual_knn
C012	C100	0.296209	0.183363	0.215328	0.41411	0.985184	0.40888	0.41309	mutual_knn
C022	C054	0.295634	0.162963	0.203239	0.541667	0.990148	0.346503	0.368174	mutual_knn
C043	C061	0.295539	0.141187	0.209147	0.627875	0.994135	0.352615	0.289687	mutual_knn
C086	C087	0.294683	0.174038	0.268215	0.307789	0.964209	0.43628	0.332889	mutual_knn
C064	C068	0.294527	0.199878	0.168795	0.461263	0.978232	0.308822	0.342747	mutual_knn
C053	C074	0.294513	0.152803	0.19861	0.59237	0.992915	0.346605	0.28204	mutual_knn
C068	C074	0.294476	0.184464	0.197692	0.446906	0.982456	0.360038	0.332915	mutual_knn
C032	C067	0.294314	0.160489	0.179039	0.604089	0.999484	0.307823	0.299507	mutual_knn
C002	C062	0.294067	0.190619	0.22289	0.328755	0.990148	0.387345	0.381625	mutual_knn
C035	C078	0.293961	0.180013	0.196851	0.454861	0.994135	0.329273	0.396443	mutual_knn
C054	C116	0.292282	0.131731	0.281172	0.429656	0.990992	0.456322	0.268074	mutual_knn
C053	C106	0.292274	0.132148	0.282658	0.437559	0.976467	0.451066	0.252511	mutual_knn
C059	C077	0.292054	0.133005	0.247531	0.541122	0.971797	0.403022	0.259894	mutual_knn
C027	C087	0.29196	0.181777	0.182328	0.47274	0.990992	0.329627	0.421289	mutual_knn
C004	C111	0.291858	0.144241	0.213058	0.559571	0.998631	0.382504	0.274686	mutual_knn
C065	C106	0.291507	0.182941	0.215407	0.385646	0.968496	0.374955	0.314862	mutual_knn
C082	C087	0.291048	0.130872	0.282749	0.461987	0.945889	0.441345	0.286241	mutual_knn
C061	C078	0.290768	0.117601	0.229631	0.63078	1.0	0.412847	0.24099	mutual_knn
C064	C100	0.2907	0.183861	0.230882	0.309867	0.985184	0.44581	0.350744	mutual_knn
C052	C071	0.290439	0.148411	0.264396	0.413544	0.955608	0.419035	0.268026	mutual_knn
C093	C118	0.290217	0.174043	0.222099	0.434419	0.93124	0.364204	0.360026	mutual_knn
C056	C088	0.290116	0.162339	0.211756	0.480464	0.973729	0.371165	0.300636	mutual_knn
C023	C062	0.288438	0.198127	0.210875	0.290525	0.970588	0.352448	0.381625	mutual_knn
C112	C118	0.288327	0.187598	0.225486	0.395492	0.873334	0.376885	0.338881	mutual_knn
C075	C077	0.288182	0.117757	0.261328	0.516811	0.992243	0.41616	0.212143	mutual_knn
C023	C089	0.287659	0.129386	0.173682	0.717623	0.990992	0.303753	0.264808	mutual_knn
C080	C100	0.287356	0.158028	0.25119	0.345027	0.98482	0.443373	0.320662	mutual_knn
C057	C113	0.287278	0.172484	0.163293	0.529491	0.990992	0.281699	0.400265	mutual_knn
C012	C064	0.28694	0.17061	0.189333	0.4635	0.984848	0.326779	0.33869	mutual_knn
C044	C059	0.286333	0.145359	0.206908	0.524814	0.990992	0.347696	0.270023	mutual_knn
C056	C114	0.286307	0.179994	0.259163	0.355159	0.830455	0.433124	0.380969	mutual_knn
C057	C109	0.286226	0.15849	0.161239	0.595102	0.990992	0.281241	0.35589	mutual_knn
C012	C087	0.285916	0.114931	0.273429	0.49316	0.971061	0.430203	0.278406	mutual_knn
C026	C059	0.285464	0.147882	0.196796	0.531933	0.992915	0.329498	0.3192	mutual_knn
C060	C088	0.285346	0.235394	0.199987	0.386463	0.690066	0.349163	0.386147	mutual_knn
C075	C094	0.285069	0.1362	0.245398	0.438565	0.994937	0.407916	0.258573	mutual_knn
C042	C070	0.285004	0.18668	0.221258	0.324845	0.928024	0.366362	0.356988	mutual_knn
C043	C047	0.284968	0.144897	0.170099	0.636669	0.978232	0.292135	0.304412	mutual_knn
C039	C044	0.284801	0.141268	0.218394	0.495498	0.990992	0.364121	0.248253	mutual_knn
C113	C114	0.284171	0.175487	0.175807	0.508827	0.928024	0.302627	0.309578	mutual_knn
C064	C082	0.282824	0.187308	0.189189	0.349297	0.974835	0.326351	0.33869	mutual_knn
C072	C080	0.282636	0.187124	0.195601	0.312945	0.990992	0.334076	0.424367	mutual_knn
C018	C061	0.282255	0.133471	0.248935	0.418244	0.990148	0.403062	0.279419	mutual_knn
C038	C075	0.282243	0.147252	0.185215	0.554419	0.976106	0.31374	0.265919	mutual_knn
C041	C093	0.281996	0.113472	0.207009	0.631568	1.0	0.351774	0.221784	mutual_knn
C054	C083	0.281719	0.128481	0.195625	0.59776	0.990148	0.328657	0.229	mutual_knn
C034	C077	0.281555	0.143406	0.233176	0.434154	0.964836	0.408884	0.266013	mutual_knn
C034	C041	0.280943	0.146893	0.187402	0.513874	0.998891	0.340822	0.272111	mutual_knn
