left	right	score	edge_jaccard	branch_jaccard	root_ayah_jaccard	window_cosine	branch_containment	edge_containment	edge_type
C457	C622	0.375013	0.368972	0.283523	0.24454	0.810163	0.443002	0.573519	mutual_knn
C137	C217	0.374429	0.268045	0.260561	0.656372	0.966012	0.421812	0.43224	mutual_knn
C033	C153	0.373995	0.281495	0.284897	0.520713	0.957073	0.448398	0.446468	mutual_knn
C374	C660	0.37398	0.29081	0.25404	0.540164	0.983464	0.406955	0.515482	mutual_knn
C043	C083	0.373928	0.363566	0.263701	0.204627	0.925724	0.426503	0.577369	mutual_knn
C119	C554	0.373903	0.285924	0.300357	0.430552	0.977787	0.508647	0.457468	mutual_knn
C229	C607	0.373535	0.276575	0.28743	0.507729	0.982455	0.466217	0.503625	mutual_knn
C035	C301	0.373334	0.232565	0.332409	0.579674	0.993614	0.501855	0.389413	mutual_knn
C015	C020	0.373215	0.32508	0.250207	0.38202	0.974106	0.439745	0.563542	mutual_knn
C093	C252	0.37279	0.281078	0.325712	0.398507	0.946864	0.535205	0.449768	mutual_knn
C394	C549	0.37265	0.340552	0.292521	0.312936	0.833238	0.461413	0.558516	mutual_knn
C006	C046	0.372506	0.324737	0.229949	0.434152	0.977376	0.377278	0.553815	mutual_knn
C217	C366	0.372345	0.316744	0.302856	0.265132	0.966034	0.465033	0.495499	mutual_knn
C126	C248	0.372261	0.271127	0.310573	0.523886	0.911371	0.484176	0.443708	mutual_knn
C121	C154	0.372	0.330979	0.291599	0.24974	0.940567	0.485213	0.603714	mutual_knn
C181	C257	0.371542	0.316319	0.291182	0.360834	0.899438	0.484991	0.616406	mutual_knn
C333	C589	0.371449	0.366733	0.257533	0.322855	0.785377	0.41893	0.575981	mutual_knn
C319	C490	0.371283	0.267372	0.315502	0.471895	0.957572	0.481352	0.43526	mutual_knn
C143	C181	0.371052	0.300779	0.288986	0.389589	0.95008	0.451023	0.464134	mutual_knn
C110	C323	0.370845	0.261185	0.339876	0.462857	0.920046	0.525312	0.431264	mutual_knn
C503	C582	0.370763	0.327991	0.293746	0.279561	0.906875	0.45546	0.578525	mutual_knn
C283	C496	0.37071	0.33835	0.282631	0.232424	0.935037	0.480014	0.643533	mutual_knn
C400	C463	0.370694	0.266799	0.3176	0.45757	0.962573	0.501536	0.492676	mutual_knn
C132	C153	0.370627	0.296227	0.247712	0.496466	0.985535	0.398219	0.517504	mutual_knn
C349	C578	0.370519	0.278083	0.326534	0.362723	0.972446	0.498353	0.511219	mutual_knn
C418	C546	0.370492	0.295903	0.325471	0.282899	0.966092	0.522345	0.505131	mutual_knn
C185	C528	0.370422	0.240986	0.371169	0.426843	0.958938	0.580852	0.39384	mutual_knn
C028	C189	0.370191	0.323079	0.275512	0.326041	0.933934	0.537644	0.572715	mutual_knn
C532	C537	0.370159	0.311262	0.300265	0.286137	0.958349	0.46647	0.503675	mutual_knn
C243	C538	0.369738	0.303316	0.294777	0.395582	0.900885	0.468426	0.538774	mutual_knn
C358	C587	0.369704	0.288608	0.29555	0.429273	0.938083	0.510132	0.710881	mutual_knn
C161	C260	0.369492	0.25454	0.261145	0.666685	0.972098	0.453434	0.425827	mutual_knn
C228	C411	0.369265	0.344063	0.269236	0.311684	0.852944	0.451311	0.523418	mutual_knn
C292	C407	0.368994	0.324272	0.32926	0.182606	0.898199	0.530681	0.543034	mutual_knn
C062	C146	0.368991	0.323005	0.276714	0.276935	0.967805	0.460624	0.548573	mutual_knn
C187	C333	0.368814	0.284153	0.335658	0.369897	0.890499	0.569837	0.492614	mutual_knn
C439	C583	0.368762	0.351791	0.217656	0.299795	0.9759	0.384099	0.565631	mutual_knn
C347	C491	0.36858	0.310089	0.316682	0.236542	0.948772	0.551747	0.710387	mutual_knn
C333	C452	0.368565	0.294528	0.292336	0.379632	0.956365	0.488349	0.49414	mutual_knn
C168	C365	0.368083	0.252238	0.321808	0.481784	0.972433	0.496648	0.409845	mutual_knn
C354	C498	0.368002	0.317551	0.259083	0.380229	0.934791	0.418241	0.556041	mutual_knn
C195	C415	0.367918	0.313711	0.288021	0.342816	0.903742	0.44752	0.489673	mutual_knn
C067	C146	0.36783	0.315064	0.279856	0.37358	0.889832	0.485964	0.48389	mutual_knn
