left	right	score	edge_jaccard	branch_jaccard	root_ayah_jaccard	window_cosine	branch_containment	edge_containment	edge_type
C091	C141	0.326172	0.189838	0.289235	0.463127	0.981698	0.480687	0.337184	mutual_knn
C384	C408	0.325969	0.221598	0.252486	0.415236	0.979002	0.413067	0.381044	mutual_knn
C064	C219	0.325499	0.254863	0.259307	0.278888	0.92387	0.42435	0.415429	mutual_knn
C503	C632	0.325466	0.289898	0.244395	0.181559	0.89043	0.412481	0.451542	mutual_knn
C064	C297	0.325257	0.286839	0.253814	0.230463	0.826471	0.419572	0.508282	mutual_knn
C131	C199	0.325213	0.256668	0.207121	0.368779	0.978645	0.365554	0.530134	mutual_knn
C158	C294	0.3251	0.261229	0.214336	0.325468	0.976376	0.354644	0.418533	mutual_knn
C180	C489	0.324897	0.265346	0.258269	0.19271	0.954719	0.411654	0.431492	mutual_knn
C236	C587	0.324704	0.254312	0.219998	0.360698	0.954786	0.36382	0.524616	mutual_knn
C179	C228	0.324669	0.240205	0.282574	0.333702	0.864242	0.447698	0.387461	mutual_knn
C152	C410	0.324667	0.274549	0.253037	0.247322	0.867493	0.424668	0.454375	mutual_knn
C066	C153	0.324598	0.254036	0.213249	0.375153	0.960904	0.361626	0.456254	mutual_knn
C337	C388	0.324501	0.267227	0.261445	0.20286	0.921681	0.415515	0.447331	mutual_knn
C175	C486	0.324499	0.222485	0.288793	0.320621	0.94556	0.488187	0.449439	mutual_knn
C058	C184	0.324446	0.252996	0.234025	0.327535	0.949871	0.384427	0.40905	mutual_knn
C255	C593	0.324291	0.243571	0.268108	0.271925	0.948807	0.433916	0.421855	mutual_knn
C221	C587	0.324159	0.237527	0.239901	0.441982	0.892269	0.438391	0.62161	mutual_knn
C036	C176	0.324079	0.212986	0.230168	0.50676	0.978601	0.389203	0.429396	mutual_knn
C521	C663	0.323946	0.262459	0.233524	0.277689	0.948898	0.379333	0.508836	mutual_knn
C004	C241	0.323863	0.20969	0.259609	0.436871	0.974477	0.493928	0.358574	mutual_knn
C048	C531	0.323808	0.211523	0.251047	0.484447	0.942874	0.476545	0.594305	mutual_knn
C158	C310	0.323742	0.225955	0.255793	0.346792	0.99348	0.431823	0.418533	mutual_knn
C244	C554	0.323699	0.234298	0.24191	0.359233	0.980531	0.420191	0.391731	mutual_knn
C425	C545	0.323507	0.246527	0.269305	0.225551	0.968963	0.431233	0.431177	mutual_knn
C217	C525	0.323441	0.277527	0.309213	0.189263	0.729876	0.483093	0.455652	mutual_knn
C112	C187	0.323254	0.229856	0.261818	0.362305	0.935507	0.462068	0.374519	mutual_knn
C473	C553	0.322868	0.224458	0.225979	0.453451	0.975	0.401114	0.367811	mutual_knn
C373	C572	0.322815	0.267498	0.254138	0.223861	0.904381	0.473771	0.568572	mutual_knn
C330	C391	0.322786	0.236712	0.257132	0.429453	0.84345	0.438917	0.445335	mutual_knn
C117	C363	0.322118	0.235992	0.228355	0.404231	0.951927	0.3837	0.425623	mutual_knn
C074	C285	0.322027	0.270859	0.26451	0.123255	0.949195	0.435351	0.43197	mutual_knn
C078	C474	0.321446	0.258906	0.224138	0.296439	0.951075	0.378076	0.500137	mutual_knn
C259	C528	0.32129	0.247685	0.249504	0.285376	0.940583	0.403629	0.419883	mutual_knn
C304	C546	0.320957	0.219974	0.246899	0.420977	0.948025	0.40209	0.365036	mutual_knn
C449	C531	0.320789	0.230231	0.268806	0.380456	0.869861	0.488055	0.588289	mutual_knn
