qac_root_join_key	qac_root	occurrence_count	surah_count	root_ids	branch_gap_count	branches_without_qnet_nodes	pos_counts	examples
مسس	م س س	61	29	root_001423	1	root_001423:B008	"{""V"": 58, ""N"": 2, ""IMPN"": 1}"	"[{""root_join_key"": ""مسس"", ""surah"": 2, ""ayah"": 80, ""word_index"": 3, ""surface_ar"": ""تَمَسَّ"", ""root_ar"": ""م س س"", ""pos"": ""V""}, {""root_join_key"": ""مسس"", ""surah"": 2, ""ayah"": 214, ""word_index"": 13, ""surface_ar"": ""مَّسَّتْ"", ""root_ar"": ""م س س"", ""pos"": ""V""}, {""root_join_key"": ""مسس"", ""surah"": 2, ""ayah"": 236, ""word_index"": 9, ""surface_ar"": ""تَمَسُّ"", ""root_ar"": ""م س س"", ""pos"": ""V""}, {""root_join_key"": ""مسس"", ""surah"": 2, ""ayah"": 237, ""word_index"": 6, ""surface_ar"": ""تَمَسُّ"", ""root_ar"": ""م س س"", ""pos"": ""V""}, {""root_join_key"": ""مسس"", ""surah"": 2, ""ayah"": 275, ""word_index"": 13, ""surface_ar"": ""مَسِّ"", ""root_ar"": ""م س س"", ""pos"": ""N""}]"
غيب	غ ي ب	60	35	root_001117	1	root_001117:B005	"{""N"": 59, ""V"": 1}"	"[{""root_join_key"": ""غيب"", ""surah"": 2, ""ayah"": 3, ""word_index"": 3, ""surface_ar"": ""غَيْبِ"", ""root_ar"": ""غ ي ب"", ""pos"": ""N""}, {""root_join_key"": ""غيب"", ""surah"": 2, ""ayah"": 33, ""word_index"": 14, ""surface_ar"": ""غَيْبَ"", ""root_ar"": ""غ ي ب"", ""pos"": ""N""}, {""root_join_key"": ""غيب"", ""surah"": 3, ""ayah"": 44, ""word_index"": 4, ""surface_ar"": ""غَيْبِ"", ""root_ar"": ""غ ي ب"", ""pos"": ""N""}, {""root_join_key"": ""غيب"", ""surah"": 3, ""ayah"": 179, ""word_index"": 20, ""surface_ar"": ""غَيْبِ"", ""root_ar"": ""غ ي ب"", ""pos"": ""N""}, {""root_join_key"": ""غيب"", ""surah"": 4, ""ayah"": 34, ""word_index"": 18, ""surface_ar"": ""غَيْبِ"", ""root_ar"": ""غ ي ب"", ""pos"": ""N""}]"
فتن	ف ت ن	60	32	root_001128	1	root_001128:B005	"{""N"": 37, ""V"": 23}"	"[{""root_join_key"": ""فتن"", ""surah"": 2, ""ayah"": 102, ""word_index"": 32, ""surface_ar"": ""فِتْنَةٌ"", ""root_ar"": ""ف ت ن"", ""pos"": ""N""}, {""root_join_key"": ""فتن"", ""surah"": 2, ""ayah"": 191, ""word_index"": 8, ""surface_ar"": ""فِتْنَةُ"", ""root_ar"": ""ف ت ن"", ""pos"": ""N""}, {""root_join_key"": ""فتن"", ""surah"": 2, ""ayah"": 193, ""word_index"": 5, ""surface_ar"": ""فِتْنَةٌ"", ""root_ar"": ""ف ت ن"", ""pos"": ""N""}, {""root_join_key"": ""فتن"", ""surah"": 2, ""ayah"": 217, ""word_index"": 25, ""surface_ar"": ""فِتْنَةُ"", ""root_ar"": ""ف ت ن"", ""pos"": ""N""}, {""root_join_key"": ""فتن"", ""surah"": 3, ""ayah"": 7, ""word_index"": 24, ""surface_ar"": ""فِتْنَةِ"", ""root_ar"": ""ف ت ن"", ""pos"": ""N""}]"
زكو	ز ك و	59	29	root_000637	1	root_000637:B003	"{""N"": 37, ""V"": 21, ""ADJ"": 1}"	"[{""root_join_key"": ""زكو"", ""surah"": 2, ""ayah"": 43, ""word_index"": 4, ""surface_ar"": ""زَّكَوٰةَ"", ""root_ar"": ""ز ك و"", ""pos"": ""N""}, {""root_join_key"": ""زكو"", ""surah"": 2, ""ayah"": 83, ""word_index"": 22, ""surface_ar"": ""زَّكَوٰةَ"", ""root_ar"": ""ز ك و"", ""pos"": ""N""}, {""root_join_key"": ""زكو"", ""surah"": 2, ""ayah"": 110, ""word_index"": 4, ""surface_ar"": ""زَّكَوٰةَ"", ""root_ar"": ""ز ك و"", ""pos"": ""N""}, {""root_join_key"": ""زكو"", ""surah"": 2, ""ayah"": 129, ""word_index"": 12, ""surface_ar"": ""يُزَكِّي"", ""root_ar"": ""ز ك و"", ""pos"": ""V""}, {""root_join_key"": ""زكو"", ""surah"": 2, ""ayah"": 151, ""word_index"": 9, ""surface_ar"": ""يُزَكِّي"", ""root_ar"": ""ز ك و"", ""pos"": ""V""}]"
ضرب	ض ر ب	58	28	root_000906	1	root_000906:B006	"{""V"": 55, ""N"": 3}"	"[{""root_join_key"": ""ضرب"", ""surah"": 2, ""ayah"": 26, ""word_index"": 6, ""surface_ar"": ""يَضْرِبَ"", ""root_ar"": ""ض ر ب"", ""pos"": ""V""}, {""root_join_key"": ""ضرب"", ""surah"": 2, ""ayah"": 60, ""word_index"": 6, ""surface_ar"": ""ٱضْرِب"", ""root_ar"": ""ض ر ب"", ""pos"": ""V""}, {""root_join_key"": ""ضرب"", ""surah"": 2, ""ayah"": 61, ""word_index"": 37, ""surface_ar"": ""ضُرِبَتْ"", ""root_ar"": ""ض ر ب"", ""pos"": ""V""}, {""root_join_key"": ""ضرب"", ""surah"": 2, ""ayah"": 73, ""word_index"": 2, ""surface_ar"": ""ٱضْرِبُ"", ""root_ar"": ""ض ر ب"", ""pos"": ""V""}, {""root_join_key"": ""ضرب"", ""surah"": 2, ""ayah"": 273, ""word_index"": 9, ""surface_ar"": ""ضَرْبًا"", ""root_ar"": ""ض ر ب"", ""pos"": ""N""}]"
روح	ر و ح	57	40	root_000609	2	root_000609:B002,root_000609:B013	"{""N"": 56, ""V"": 1}"	"[{""root_join_key"": ""روح"", ""surah"": 2, ""ayah"": 87, ""word_index"": 15, ""surface_ar"": ""رُوحِ"", ""root_ar"": ""ر و ح"", ""pos"": ""N""}, {""root_join_key"": ""روح"", ""surah"": 2, ""ayah"": 164, ""word_index"": 35, ""surface_ar"": ""رِّيَٰحِ"", ""root_ar"": ""ر و ح"", ""pos"": ""N""}, {""root_join_key"": ""روح"", ""surah"": 2, ""ayah"": 253, ""word_index"": 20, ""surface_ar"": ""رُوحِ"", ""root_ar"": ""ر و ح"", ""pos"": ""N""}, {""root_join_key"": ""روح"", ""surah"": 3, ""ayah"": 117, ""word_index"": 9, ""surface_ar"": ""رِيحٍ"", ""root_ar"": ""ر و ح"", ""pos"": ""N""}, {""root_join_key"": ""روح"", ""surah"": 4, ""ayah"": 171, ""word_index"": 24, ""surface_ar"": ""رُوحٌ"", ""root_ar"": ""ر و ح"", ""pos"": ""N""}]"
قري	ق ر ي	57	26	root_001222	2	root_001222:B009,root_001222:B010	"{""N"": 57}"	"[{""root_join_key"": ""قري"", ""surah"": 2, ""ayah"": 58, ""word_index"": 5, ""surface_ar"": ""قَرْيَةَ"", ""root_ar"": ""ق ر ي"", ""pos"": ""N""}, {""root_join_key"": ""قري"", ""surah"": 2, ""ayah"": 259, ""word_index"": 5, ""surface_ar"": ""قَرْيَةٍ"", ""root_ar"": ""ق ر ي"", ""pos"": ""N""}, {""root_join_key"": ""قري"", ""surah"": 4, ""ayah"": 75, ""word_index"": 19, ""surface_ar"": ""قَرْيَةِ"", ""root_ar"": ""ق ر ي"", ""pos"": ""N""}, {""root_join_key"": ""قري"", ""surah"": 6, ""ayah"": 92, ""word_index"": 11, ""surface_ar"": ""قُرَىٰ"", ""root_ar"": ""ق ر ي"", ""pos"": ""N""}, {""root_join_key"": ""قري"", ""surah"": 6, ""ayah"": 123, ""word_index"": 5, ""surface_ar"": ""قَرْيَةٍ"", ""root_ar"": ""ق ر ي"", ""pos"": ""N""}]"
ذهب	ذ ه ب	56	30	root_000522	1	root_000522:B009	"{""V"": 46, ""N"": 10}"	"[{""root_join_key"": ""ذهب"", ""surah"": 2, ""ayah"": 17, ""word_index"": 10, ""surface_ar"": ""ذَهَبَ"", ""root_ar"": ""ذ ه ب"", ""pos"": ""V""}, {""root_join_key"": ""ذهب"", ""surah"": 2, ""ayah"": 20, ""word_index"": 17, ""surface_ar"": ""ذَهَبَ"", ""root_ar"": ""ذ ه ب"", ""pos"": ""V""}, {""root_join_key"": ""ذهب"", ""surah"": 3, ""ayah"": 14, ""word_index"": 11, ""surface_ar"": ""ذَّهَبِ"", ""root_ar"": ""ذ ه ب"", ""pos"": ""N""}, {""root_join_key"": ""ذهب"", ""surah"": 3, ""ayah"": 91, ""word_index"": 13, ""surface_ar"": ""ذَهَبًا"", ""root_ar"": ""ذ ه ب"", ""pos"": ""N""}, {""root_join_key"": ""ذهب"", ""surah"": 4, ""ayah"": 19, ""word_index"": 13, ""surface_ar"": ""تَذْهَبُ"", ""root_ar"": ""ذ ه ب"", ""pos"": ""V""}]"
دور	د و ر	55	27	root_000499	1	root_000499:B002	"{""N"": 53, ""V"": 2}"	"[{""root_join_key"": ""دور"", ""surah"": 2, ""ayah"": 84, ""word_index"": 11, ""surface_ar"": ""دِيَٰرِ"", ""root_ar"": ""د و ر"", ""pos"": ""N""}, {""root_join_key"": ""دور"", ""surah"": 2, ""ayah"": 85, ""word_index"": 10, ""surface_ar"": ""دِيَٰرِ"", ""root_ar"": ""د و ر"", ""pos"": ""N""}, {""root_join_key"": ""دور"", ""surah"": 2, ""ayah"": 94, ""word_index"": 5, ""surface_ar"": ""دَّارُ"", ""root_ar"": ""د و ر"", ""pos"": ""N""}, {""root_join_key"": ""دور"", ""surah"": 2, ""ayah"": 243, ""word_index"": 7, ""surface_ar"": ""دِيَٰرِ"", ""root_ar"": ""د و ر"", ""pos"": ""N""}, {""root_join_key"": ""دور"", ""surah"": 2, ""ayah"": 246, ""word_index"": 42, ""surface_ar"": ""دِيَٰرِ"", ""root_ar"": ""د و ر"", ""pos"": ""N""}]"
فسق	ف س ق	54	23	root_001156	2	root_001156:B001,root_001156:B003	"{""N"": 31, ""ADJ"": 13, ""V"": 10}"	"[{""root_join_key"": ""فسق"", ""surah"": 2, ""ayah"": 26, ""word_index"": 39, ""surface_ar"": ""فَٰسِقِينَ"", ""root_ar"": ""ف س ق"", ""pos"": ""N""}, {""root_join_key"": ""فسق"", ""surah"": 2, ""ayah"": 59, ""word_index"": 18, ""surface_ar"": ""يَفْسُقُ"", ""root_ar"": ""ف س ق"", ""pos"": ""V""}, {""root_join_key"": ""فسق"", ""surah"": 2, ""ayah"": 99, ""word_index"": 10, ""surface_ar"": ""فَٰسِقُونَ"", ""root_ar"": ""ف س ق"", ""pos"": ""N""}, {""root_join_key"": ""فسق"", ""surah"": 2, ""ayah"": 197, ""word_index"": 11, ""surface_ar"": ""فُسُوقَ"", ""root_ar"": ""ف س ق"", ""pos"": ""N""}, {""root_join_key"": ""فسق"", ""surah"": 2, ""ayah"": 282, ""word_index"": 119, ""surface_ar"": ""فُسُوقٌۢ"", ""root_ar"": ""ف س ق"", ""pos"": ""N""}]"
طيب	ط ي ب	50	23	root_000961	1	root_000961:B009	"{""N"": 30, ""ADJ"": 17, ""V"": 3}"	"[{""root_join_key"": ""طيب"", ""surah"": 2, ""ayah"": 57, ""word_index"": 10, ""surface_ar"": ""طَيِّبَٰتِ"", ""root_ar"": ""ط ي ب"", ""pos"": ""N""}, {""root_join_key"": ""طيب"", ""surah"": 2, ""ayah"": 168, ""word_index"": 8, ""surface_ar"": ""طَيِّبًا"", ""root_ar"": ""ط ي ب"", ""pos"": ""ADJ""}, {""root_join_key"": ""طيب"", ""surah"": 2, ""ayah"": 172, ""word_index"": 6, ""surface_ar"": ""طَيِّبَٰتِ"", ""root_ar"": ""ط ي ب"", ""pos"": ""N""}, {""root_join_key"": ""طيب"", ""surah"": 2, ""ayah"": 267, ""word_index"": 6, ""surface_ar"": ""طَيِّبَٰتِ"", ""root_ar"": ""ط ي ب"", ""pos"": ""N""}, {""root_join_key"": ""طيب"", ""surah"": 3, ""ayah"": 38, ""word_index"": 12, ""surface_ar"": ""طَيِّبَةً"", ""root_ar"": ""ط ي ب"", ""pos"": ""ADJ""}]"
سوع	س و ع	49	27	root_000760	1	root_000760:B001	"{""N"": 47, ""PN"": 1, ""T"": 1}"	"[{""root_join_key"": ""سوع"", ""surah"": 6, ""ayah"": 31, ""word_index"": 10, ""surface_ar"": ""سَّاعَةُ"", ""root_ar"": ""س و ع"", ""pos"": ""N""}, {""root_join_key"": ""سوع"", ""surah"": 6, ""ayah"": 40, ""word_index"": 9, ""surface_ar"": ""سَّاعَةُ"", ""root_ar"": ""س و ع"", ""pos"": ""N""}, {""root_join_key"": ""سوع"", ""surah"": 7, ""ayah"": 34, ""word_index"": 9, ""surface_ar"": ""سَاعَةً"", ""root_ar"": ""س و ع"", ""pos"": ""T""}, {""root_join_key"": ""سوع"", ""surah"": 7, ""ayah"": 187, ""word_index"": 3, ""surface_ar"": ""سَّاعَةِ"", ""root_ar"": ""س و ع"", ""pos"": ""N""}, {""root_join_key"": ""سوع"", ""surah"": 9, ""ayah"": 117, ""word_index"": 11, ""surface_ar"": ""سَاعَةِ"", ""root_ar"": ""س و ع"", ""pos"": ""N""}]"
عقل	ع ق ل	49	30	root_001036	1	root_001036:B005	"{""V"": 49}"	"[{""root_join_key"": ""عقل"", ""surah"": 2, ""ayah"": 44, ""word_index"": 10, ""surface_ar"": ""تَعْقِلُ"", ""root_ar"": ""ع ق ل"", ""pos"": ""V""}, {""root_join_key"": ""عقل"", ""surah"": 2, ""ayah"": 73, ""word_index"": 11, ""surface_ar"": ""تَعْقِلُ"", ""root_ar"": ""ع ق ل"", ""pos"": ""V""}, {""root_join_key"": ""عقل"", ""surah"": 2, ""ayah"": 75, ""word_index"": 17, ""surface_ar"": ""عَقَلُ"", ""root_ar"": ""ع ق ل"", ""pos"": ""V""}, {""root_join_key"": ""عقل"", ""surah"": 2, ""ayah"": 76, ""word_index"": 23, ""surface_ar"": ""تَعْقِلُ"", ""root_ar"": ""ع ق ل"", ""pos"": ""V""}, {""root_join_key"": ""عقل"", ""surah"": 2, ""ayah"": 164, ""word_index"": 43, ""surface_ar"": ""يَعْقِلُ"", ""root_ar"": ""ع ق ل"", ""pos"": ""V""}]"
خشي	خ ش ي	48	24	root_000413	1	root_000413:B003	"{""V"": 40, ""N"": 8}"	"[{""root_join_key"": ""خشي"", ""surah"": 2, ""ayah"": 74, ""word_index"": 31, ""surface_ar"": ""خَشْيَةِ"", ""root_ar"": ""خ ش ي"", ""pos"": ""N""}, {""root_join_key"": ""خشي"", ""surah"": 2, ""ayah"": 150, ""word_index"": 25, ""surface_ar"": ""تَخْشَ"", ""root_ar"": ""خ ش ي"", ""pos"": ""V""}, {""root_join_key"": ""خشي"", ""surah"": 2, ""ayah"": 150, ""word_index"": 26, ""surface_ar"": ""ٱخْشَ"", ""root_ar"": ""خ ش ي"", ""pos"": ""V""}, {""root_join_key"": ""خشي"", ""surah"": 3, ""ayah"": 173, ""word_index"": 10, ""surface_ar"": ""ٱخْشَ"", ""root_ar"": ""خ ش ي"", ""pos"": ""V""}, {""root_join_key"": ""خشي"", ""surah"": 4, ""ayah"": 9, ""word_index"": 1, ""surface_ar"": ""يَخْشَ"", ""root_ar"": ""خ ش ي"", ""pos"": ""V""}]"
طعم	ط ع م	48	26	root_000934	1	root_000934:B003	"{""N"": 29, ""V"": 19}"	"[{""root_join_key"": ""طعم"", ""surah"": 2, ""ayah"": 61, ""word_index"": 7, ""surface_ar"": ""طَعَامٍ"", ""root_ar"": ""ط ع م"", ""pos"": ""N""}, {""root_join_key"": ""طعم"", ""surah"": 2, ""ayah"": 184, ""word_index"": 18, ""surface_ar"": ""طَعَامُ"", ""root_ar"": ""ط ع م"", ""pos"": ""N""}, {""root_join_key"": ""طعم"", ""surah"": 2, ""ayah"": 249, ""word_index"": 17, ""surface_ar"": ""يَطْعَمْ"", ""root_ar"": ""ط ع م"", ""pos"": ""V""}, {""root_join_key"": ""طعم"", ""surah"": 2, ""ayah"": 259, ""word_index"": 39, ""surface_ar"": ""طَعَامِ"", ""root_ar"": ""ط ع م"", ""pos"": ""N""}, {""root_join_key"": ""طعم"", ""surah"": 3, ""ayah"": 93, ""word_index"": 2, ""surface_ar"": ""طَّعَامِ"", ""root_ar"": ""ط ع م"", ""pos"": ""N""}]"
حشر	ح ش ر	43	28	root_000324	1	root_000324:B003	"{""V"": 37, ""N"": 6}"	"[{""root_join_key"": ""حشر"", ""surah"": 2, ""ayah"": 203, ""word_index"": 25, ""surface_ar"": ""تُحْشَرُ"", ""root_ar"": ""ح ش ر"", ""pos"": ""V""}, {""root_join_key"": ""حشر"", ""surah"": 3, ""ayah"": 12, ""word_index"": 5, ""surface_ar"": ""تُحْشَرُ"", ""root_ar"": ""ح ش ر"", ""pos"": ""V""}, {""root_join_key"": ""حشر"", ""surah"": 3, ""ayah"": 158, ""word_index"": 7, ""surface_ar"": ""تُحْشَرُ"", ""root_ar"": ""ح ش ر"", ""pos"": ""V""}, {""root_join_key"": ""حشر"", ""surah"": 4, ""ayah"": 172, ""word_index"": 16, ""surface_ar"": ""يَحْشُرُ"", ""root_ar"": ""ح ش ر"", ""pos"": ""V""}, {""root_join_key"": ""حشر"", ""surah"": 5, ""ayah"": 96, ""word_index"": 20, ""surface_ar"": ""تُحْشَرُ"", ""root_ar"": ""ح ش ر"", ""pos"": ""V""}]"
فصل	ف ص ل	43	24	root_001159	1	root_001159:B008	"{""V"": 22, ""N"": 19, ""ADJ"": 2}"	"[{""root_join_key"": ""فصل"", ""surah"": 2, ""ayah"": 233, ""word_index"": 36, ""surface_ar"": ""فِصَالًا"", ""root_ar"": ""ف ص ل"", ""pos"": ""N""}, {""root_join_key"": ""فصل"", ""surah"": 2, ""ayah"": 249, ""word_index"": 2, ""surface_ar"": ""فَصَلَ"", ""root_ar"": ""ف ص ل"", ""pos"": ""V""}, {""root_join_key"": ""فصل"", ""surah"": 6, ""ayah"": 55, ""word_index"": 2, ""surface_ar"": ""نُفَصِّلُ"", ""root_ar"": ""ف ص ل"", ""pos"": ""V""}, {""root_join_key"": ""فصل"", ""surah"": 6, ""ayah"": 57, ""word_index"": 22, ""surface_ar"": ""فَٰصِلِينَ"", ""root_ar"": ""ف ص ل"", ""pos"": ""N""}, {""root_join_key"": ""فصل"", ""surah"": 6, ""ayah"": 97, ""word_index"": 13, ""surface_ar"": ""فَصَّلْ"", ""root_ar"": ""ف ص ل"", ""pos"": ""V""}]"
مكر	م ك ر	43	14	root_001438	1	root_001438:B001	"{""V"": 22, ""N"": 21}"	"[{""root_join_key"": ""مكر"", ""surah"": 3, ""ayah"": 54, ""word_index"": 1, ""surface_ar"": ""مَكَرُ"", ""root_ar"": ""م ك ر"", ""pos"": ""V""}, {""root_join_key"": ""مكر"", ""surah"": 3, ""ayah"": 54, ""word_index"": 2, ""surface_ar"": ""مَكَرَ"", ""root_ar"": ""م ك ر"", ""pos"": ""V""}, {""root_join_key"": ""مكر"", ""surah"": 3, ""ayah"": 54, ""word_index"": 6, ""surface_ar"": ""مَٰكِرِينَ"", ""root_ar"": ""م ك ر"", ""pos"": ""N""}, {""root_join_key"": ""مكر"", ""surah"": 6, ""ayah"": 123, ""word_index"": 8, ""surface_ar"": ""يَمْكُرُ"", ""root_ar"": ""م ك ر"", ""pos"": ""V""}, {""root_join_key"": ""مكر"", ""surah"": 6, ""ayah"": 123, ""word_index"": 11, ""surface_ar"": ""يَمْكُرُ"", ""root_ar"": ""م ك ر"", ""pos"": ""V""}]"
صدد	ص د د	42	23	root_000848	1	root_000848:B007	"{""V"": 38, ""N"": 3, ""ADJ"": 1}"	"[{""root_join_key"": ""صدد"", ""surah"": 2, ""ayah"": 217, ""word_index"": 11, ""surface_ar"": ""صَدٌّ"", ""root_ar"": ""ص د د"", ""pos"": ""N""}, {""root_join_key"": ""صدد"", ""surah"": 3, ""ayah"": 99, ""word_index"": 5, ""surface_ar"": ""تَصُدُّ"", ""root_ar"": ""ص د د"", ""pos"": ""V""}, {""root_join_key"": ""صدد"", ""surah"": 4, ""ayah"": 55, ""word_index"": 7, ""surface_ar"": ""صَدَّ"", ""root_ar"": ""ص د د"", ""pos"": ""V""}, {""root_join_key"": ""صدد"", ""surah"": 4, ""ayah"": 61, ""word_index"": 13, ""surface_ar"": ""يَصُدُّ"", ""root_ar"": ""ص د د"", ""pos"": ""V""}, {""root_join_key"": ""صدد"", ""surah"": 4, ""ayah"": 61, ""word_index"": 15, ""surface_ar"": ""صُدُودًا"", ""root_ar"": ""ص د د"", ""pos"": ""N""}]"
جهد	ج ه د	41	19	root_000268	1	root_000268:B002	"{""V"": 27, ""N"": 14}"	"[{""root_join_key"": ""جهد"", ""surah"": 2, ""ayah"": 218, ""word_index"": 6, ""surface_ar"": ""جَٰهَدُ"", ""root_ar"": ""ج ه د"", ""pos"": ""V""}, {""root_join_key"": ""جهد"", ""surah"": 3, ""ayah"": 142, ""word_index"": 10, ""surface_ar"": ""جَٰهَدُ"", ""root_ar"": ""ج ه د"", ""pos"": ""V""}, {""root_join_key"": ""جهد"", ""surah"": 4, ""ayah"": 95, ""word_index"": 9, ""surface_ar"": ""مُجَٰهِدُونَ"", ""root_ar"": ""ج ه د"", ""pos"": ""N""}, {""root_join_key"": ""جهد"", ""surah"": 4, ""ayah"": 95, ""word_index"": 17, ""surface_ar"": ""مُجَٰهِدِينَ"", ""root_ar"": ""ج ه د"", ""pos"": ""N""}, {""root_join_key"": ""جهد"", ""surah"": 4, ""ayah"": 95, ""word_index"": 29, ""surface_ar"": ""مُجَٰهِدِينَ"", ""root_ar"": ""ج ه د"", ""pos"": ""N""}]"
لعن	ل ع ن	41	18	root_001359	3	root_001359:B003,root_001359:B006,root_001359:B007	"{""V"": 23, ""N"": 18}"	"[{""root_join_key"": ""لعن"", ""surah"": 2, ""ayah"": 88, ""word_index"": 5, ""surface_ar"": ""لَّعَنَ"", ""root_ar"": ""ل ع ن"", ""pos"": ""V""}, {""root_join_key"": ""لعن"", ""surah"": 2, ""ayah"": 89, ""word_index"": 23, ""surface_ar"": ""لَعْنَةُ"", ""root_ar"": ""ل ع ن"", ""pos"": ""N""}, {""root_join_key"": ""لعن"", ""surah"": 2, ""ayah"": 159, ""word_index"": 17, ""surface_ar"": ""يَلْعَنُ"", ""root_ar"": ""ل ع ن"", ""pos"": ""V""}, {""root_join_key"": ""لعن"", ""surah"": 2, ""ayah"": 159, ""word_index"": 19, ""surface_ar"": ""يَلْعَنُ"", ""root_ar"": ""ل ع ن"", ""pos"": ""V""}, {""root_join_key"": ""لعن"", ""surah"": 2, ""ayah"": 159, ""word_index"": 20, ""surface_ar"": ""لَّٰعِنُونَ"", ""root_ar"": ""ل ع ن"", ""pos"": ""N""}]"
قرر	ق ر ر	38	22	root_001215	1	root_001215:B008	"{""N"": 28, ""V"": 10}"	"[{""root_join_key"": ""قرر"", ""surah"": 2, ""ayah"": 36, ""word_index"": 16, ""surface_ar"": ""مُسْتَقَرٌّ"", ""root_ar"": ""ق ر ر"", ""pos"": ""N""}, {""root_join_key"": ""قرر"", ""surah"": 2, ""ayah"": 84, ""word_index"": 13, ""surface_ar"": ""أَقْرَرْ"", ""root_ar"": ""ق ر ر"", ""pos"": ""V""}, {""root_join_key"": ""قرر"", ""surah"": 3, ""ayah"": 81, ""word_index"": 21, ""surface_ar"": ""أَقْرَرْ"", ""root_ar"": ""ق ر ر"", ""pos"": ""V""}, {""root_join_key"": ""قرر"", ""surah"": 3, ""ayah"": 81, ""word_index"": 27, ""surface_ar"": ""أَقْرَرْ"", ""root_ar"": ""ق ر ر"", ""pos"": ""V""}, {""root_join_key"": ""قرر"", ""surah"": 6, ""ayah"": 67, ""word_index"": 3, ""surface_ar"": ""مُّسْتَقَرٌّ"", ""root_ar"": ""ق ر ر"", ""pos"": ""N""}]"
هوي	ه و ي	38	22	root_001609	1	root_001609:B005	"{""N"": 29, ""V"": 9}"	"[{""root_join_key"": ""هوي"", ""surah"": 2, ""ayah"": 87, ""word_index"": 22, ""surface_ar"": ""تَهْوَىٰٓ"", ""root_ar"": ""ه و ي"", ""pos"": ""V""}, {""root_join_key"": ""هوي"", ""surah"": 2, ""ayah"": 120, ""word_index"": 18, ""surface_ar"": ""أَهْوَآءَ"", ""root_ar"": ""ه و ي"", ""pos"": ""N""}, {""root_join_key"": ""هوي"", ""surah"": 2, ""ayah"": 145, ""word_index"": 22, ""surface_ar"": ""أَهْوَآءَ"", ""root_ar"": ""ه و ي"", ""pos"": ""N""}, {""root_join_key"": ""هوي"", ""surah"": 4, ""ayah"": 135, ""word_index"": 25, ""surface_ar"": ""هَوَىٰٓ"", ""root_ar"": ""ه و ي"", ""pos"": ""N""}, {""root_join_key"": ""هوي"", ""surah"": 5, ""ayah"": 48, ""word_index"": 20, ""surface_ar"": ""أَهْوَآءَ"", ""root_ar"": ""ه و ي"", ""pos"": ""N""}]"
حدث	ح د ث	36	28	root_000299	1	root_000299:B008	"{""N"": 30, ""V"": 6}"	"[{""root_join_key"": ""حدث"", ""surah"": 2, ""ayah"": 76, ""word_index"": 13, ""surface_ar"": ""تُحَدِّثُ"", ""root_ar"": ""ح د ث"", ""pos"": ""V""}, {""root_join_key"": ""حدث"", ""surah"": 4, ""ayah"": 42, ""word_index"": 14, ""surface_ar"": ""حَدِيثًا"", ""root_ar"": ""ح د ث"", ""pos"": ""N""}, {""root_join_key"": ""حدث"", ""surah"": 4, ""ayah"": 78, ""word_index"": 36, ""surface_ar"": ""حَدِيثًا"", ""root_ar"": ""ح د ث"", ""pos"": ""N""}, {""root_join_key"": ""حدث"", ""surah"": 4, ""ayah"": 87, ""word_index"": 17, ""surface_ar"": ""حَدِيثًا"", ""root_ar"": ""ح د ث"", ""pos"": ""N""}, {""root_join_key"": ""حدث"", ""surah"": 4, ""ayah"": 140, ""word_index"": 21, ""surface_ar"": ""حَدِيثٍ"", ""root_ar"": ""ح د ث"", ""pos"": ""N""}]"
قطع	ق ط ع	36	23	root_001240	1	root_001240:B011	"{""V"": 29, ""N"": 7}"	"[{""root_join_key"": ""قطع"", ""surah"": 2, ""ayah"": 27, ""word_index"": 8, ""surface_ar"": ""يَقْطَعُ"", ""root_ar"": ""ق ط ع"", ""pos"": ""V""}, {""root_join_key"": ""قطع"", ""surah"": 2, ""ayah"": 166, ""word_index"": 10, ""surface_ar"": ""تَقَطَّعَتْ"", ""root_ar"": ""ق ط ع"", ""pos"": ""V""}, {""root_join_key"": ""قطع"", ""surah"": 3, ""ayah"": 127, ""word_index"": 1, ""surface_ar"": ""يَقْطَعَ"", ""root_ar"": ""ق ط ع"", ""pos"": ""V""}, {""root_join_key"": ""قطع"", ""surah"": 5, ""ayah"": 33, ""word_index"": 16, ""surface_ar"": ""تُقَطَّعَ"", ""root_ar"": ""ق ط ع"", ""pos"": ""V""}, {""root_join_key"": ""قطع"", ""surah"": 5, ""ayah"": 38, ""word_index"": 3, ""surface_ar"": ""ٱقْطَعُ"", ""root_ar"": ""ق ط ع"", ""pos"": ""V""}]"
